term,definition,category,rel_terms,abbrev,synonym,refs,alt_def,rel_terms_alt_def,refs_alt_def,drafted_by,reviewed_by,status
Signal,"Signal is the variation of a form of energy over space or time. In fNIRS, the term can be used interchangeably for the raw intensity, optical density or hemoglobin concentration changes in time.",Analysis,hemodynamic response ,,,"<p></p>DOI: 10.1108/00242530910928942
", , , ,"OntoNIRS, Abi Fiske, Meryem Ayşe Yüce, ", Samuel Montero-Hernandez,Open for review
Signal change,"Signal change is the difference in signals between two or more measurements. For instance, the observed difference in HbO2 between conditions A and B, or time one vs time two are commonly referred to signal change. ",Analysis,,,,"<a href=""https://doi.org/10.1016/j.neuroimage.2013.06.016"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.06.016</a>", , , ,"Antonia Hamilton, Chia-Chuan Yu"," Beatrix Barth, Heidrun Wabnitz, Lauren Emberson, Laura Diprossimo, Chia-Chuan Yu",Complete (agreement from at least 5 team members)
Signal noise ratio,"Signal to noise ratio is the ratio of useful information from a system to that of an interfering unwanted, often random, information that is also present.  ",Analysis,"contrast to noise ratio (CNR), coefficient of variation (CV)",SNR,signal to noise ratio,"<a href=""https://doi.org/10.1016/j.neuroimage.2013.06.016"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2013.06.016</a>", , , ,OntoNIRS," Lenaic Borot, Ishara Paranawithana, Meryem Ayşe Yücel, Samuel Montero-Hernandez",Complete (agreement from at least 5 team members)
Shared near-infrared file format (.snirf),"The Shared Near Infrared File Format (SNIRF) is a standardized file format based on the Hierarchical Data Format (HDF5) used for organizing, storing, and sharing Near-Infrared Spectroscopy data and associated metadata. This format facilitates the exchange and analysis of fNIRS data across different hardware and software platforms. SNIRF is compatible with a variety of fNIRS analysis toolboxes and software platforms. It is designed to encapsulate various types of information, including metadata about the measurement, NIRS data, stimulus or trigger data, information about the probe set used, and any auxiliary data. The adoption of the SNIRF format helps streamline data sharing and collaboration within the fNIRS research community.",Analysis,"BIDS, Open Science, Open Data ",snirf,,"<a href=""https://github.com/fNIRS/snirf"" target=""_blank"">https://github.com/fNIRS/snirf</a><p></p><a href=""https://doi.org/10.1117/1.NPh.10.1.013507
"" target=""_blank"">https://doi.org/10.1117/1.NPh.10.1.013507
</a>", , , ,"Beatrix Barth, Michael Lührs"," Renato Orti Agnes Kroczek, Franziska Klein, Ali Rahimpour Jounghani, Oliver Seidel-Marzi Chiara Bulgarelli, Divya Jain, Michael Lührs, Meryem Ayşe Yücel, Anastasia Kerr-German, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members)
Source Localization,"Source localization is a technique used to determine the location of the neural generators that give rise to a particular brain signal, such as an electroencephalogram (EEG) or magnetoencephalogram (MEG) signal. In addition, use of fNIRS for source localization measures changes in blood oxygenation in the brain as an indirect measure of neural activity that can be used as prior information in solving the inverse problem. The importance of source localization is the understanding of the neural mechanisms underlying cognitive processes and provide insights into the different techniques that can be used for this purpose.",Analysis,"BIDS, Open Science, Open Data ",,,"<a href=""https://github.com/fNIRS/snirf"" target=""_blank"">https://github.com/fNIRS/snirf</a><p></p><a href=""https://doi.org/10.1117/1.NPh.10.1.013507
"" target=""_blank"">https://doi.org/10.1117/1.NPh.10.1.013507
</a>", , , ,Hadi Hosseini," Ali Rahimpour Jounghani, Talukdar Raian Ferdous",Open for review 
Spatial resolution,"Refers to the minimum image size of an ideal point source and therefore reflects an imaging system’s ability to accurately reproduce the contrast available in the object. It is usually specified in terms of the point spread function (PSF) or line spread function (LSF), or by the modulation transfer function (MTF), which is the frequency space representation of the PSF. Both of these concepts assume that the imaging system is linear and stationary, which is not generally the case. Spatial resolution is often measured in two orthogonal directions: in-plane ($x-y$) and cross-plane ($z$) ",Analysis ,,,,"<p></p>J. Hsieh. Computed Tomography: Principles, Design, Artifacts, and Recent Advances. SPIE Press monograph. SPIE Press, 2003.
", , , ,OntoNIRS, ,Open for review
Spikes,"Spikes are signal features characterized by a sudden change much larger in magnitude than changes in the surrounding signal. In fNIRS, spikes are a common manifestation of optode movement artifacts.",Analysis,"baseline shifts, artifact, Motion Artifact Correction, Preprocessing",,,"<p></p><a href=""https://doi.org/10.1109/EMBC46164.2021.9631014
"" target=""_blank"">https://doi.org/10.1109/EMBC46164.2021.9631014
</a><p></p><a href=""https://doi.org/10.3389/fnins.2012.00147
"" target=""_blank"">https://doi.org/10.3389/fnins.2012.00147
</a>", , , ,"Vanessa Reindl, Felipe Orihuela-Espina","Gregoire Vergotte, Franziska Klein, Hanieh Zainodini, Christian Gerloff, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Statistical Parametric Mapping,Statistical Parametric Mapping (SPM) is an analysis technique used in functional neuroimaging to identify regions of brain activation related to an experimental task. This is quantified as a parametric map -a voxel-wise collection of statistical values (typically beta- or t-values) obtained using the general linear model (GLM) framework. The term SPM also refers to a free MATLAB toolbox developed at Wellcome Centre for Human Neuroimaging that implements preprocessing and modeling functionality that can be used to generate statistical parametric maps.,Analysis,General Linear Model,SPM,,"<p></p><a href=""https://doi.org/10.1002/hbm.460020402
"" target=""_blank"">https://doi.org/10.1002/hbm.460020402
</a>", , , ,Aahana Bajracharya," Meryem Ayşe Yücel, Anastasia Kerr-German, Samuel Montero-Hernandez",Open for review
Systemic physiology augmented functional near-infrared spectroscopy,"Systemic physiology augmented functional near-infrared spectroscopy (SPA-NIRS) is a method that uses fNIRS data in combination with the measurement of systemic physiological activity (e.g., cardiorespiratory and autonomic activity) to (i) improve the physiological interpretation of  fNIRS measurements, (ii) use the systemic physiological signals to regress them out from fNIRS data, and to (iii) gain novel insights into the complex interplay of the brain with the physiological state of the entire body.",Analysis,"Preprocessing, Short-distance channel",SPA-fNIRS,,"<a href=""https://doi.org/10.1117/1.NPh.9.3.030801"" target=""_blank"">https://doi.org/10.1117/1.NPh.9.3.030801</a>", , , ,Felix Scholkmann," Franziska Klein, David Mehler, Michael Lührs, Katharina Stute",Open for review
Temporal resolution,Temporal resolution is defined as the amount of time needed to revisit and acquire a new observation from the exact same location.,Analysis,"Sampling frequency, Sampling rate",,,"<p></p><a href=""https://doi.org/10.5860/choice.45-5931
"" target=""_blank"">https://doi.org/10.5860/choice.45-5931
</a>", , , ,OntoNIRS," Murat Can Mutlu, Samuel Forbes, Meryem Ayşe Yücel, Anastasia Kerr-German, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members)
Time Frame,"Time frame typically refers to a discrete time interval (usually in seconds or milliseconds) over which a set of optical measurements are acquired. Each frame is divided into a series of smaller time intervals called ""time bins"" or ""data points"" and the optical signal is sampled at a fixed sampling rate during each time bin.",Analysis,,, ,"<p></p><a href=""https://doi.org/10.1117/1.nph.8.1.012101
"" target=""_blank"">https://doi.org/10.1117/1.nph.8.1.012101
</a>", , , ,Hanieh Zainodini,"Abi Fiske, Meryem Ayşe Yücel, Samuel Montero-Hernandez  ",Open for review
Time series,"Time series is a sequence of data points ordered in time. Typically, the parameter/variable is sampled at regular time intervals, $\\delta t$ , which defines a sampling frequency, $f_s$ given by $ f_s = \\frac{1}{\\delta t}$ . For instance, in fNIRS, the intensity detected at a detector coming from a light source defines a time series for the light intensity at a source-detector pair.",Analysis,"Time courses; Sampling frequency, Signal, Time points, Statistical Analysis, Channel",,,"<a href=""https://doi.org/10.1145/2379776.2379788"" target=""_blank"">https://doi.org/10.1145/2379776.2379788</a><p></p><a href=""https://doi.org/10.1201/9781420036206
"" target=""_blank"">https://doi.org/10.1201/9781420036206
</a>", , , ,Ségolène Guérin,"Christina Artemenko, Murat Can Mutlu, Rickson Mesquita, Sara Sanchez-Alonso, Meryem Ayşe Yücel, Anastasia Kerr-German",Complete (agreement from at least 5 team members) 
Time window,"A time window refers to a specific period in the dataset during which the recorded data is analyzed. The length of the time window depends on the research question and the nature of the experiment. The analysis of fNIRS data is often conducted by dividing the entire recording period into several time windows, typically several seconds long. During each time window, the signal is processed and analyzed to identify metabolism in the brain. The choice of the time window is an essential consideration in fNIRS analysis, as it can affect the sensitivity and specificity of the results.",Analysis,,,,DOI: 10.1109/ICA-SYMP.2019.8646261," In the context of time-domain fNIRS, the time window refers to the duration of the measurement period during which the photons are detected and used to calculate the optical properties of the tissue.", , http://dx.doi.org/10.1016/j.neuroimage.2013.05.106,Christian Bartkowski,Guy Perkins,Open for review
Topological Analysis,"Topological analysis refers to processing and analytical approaches that leverage the field of mathematical topology; i.e. the study of bicontinuous deformations. In fNIRS, the so-called topographical plots exploit the natural topology of the sampling lattice yielded by the channel locations. Other uses in fNIRS thus far included dimensionality reduction efforts, segregational and intergenerational analysis.",Analysis,,,"Network-based Analysis, Connectivity Analysis "," <p></p><a href=""https://doi.org/10.3389/frai.2021.667963
"" target=""_blank"">https://doi.org/10.3389/frai.2021.667963
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.5.1.011011
"" target=""_blank"">https://doi.org/10.1117/1.NPh.5.1.011011
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.7.4.045009
"" target=""_blank"">https://doi.org/10.1117/1.NPh.7.4.045009
</a>", , , ,Felipe Orihuela-Espina," Hanieh Zainodini, Felipe Orihuela-Espina",Open for review 
Topographic map,"A topographic map is a two-dimensional graphical representation. For example, in the context of fNIRS, this could be the spatial distribution of channel sensitivities, hemodynamic response or effect size projected on a 2D surface.
",Analysis,,,,,(if applicable) ,(if applicable) ,(if applicable) ,"Vanessa Reindl, Meryem Ayşe Yücel","Haiyan Kong, Gregoire Vergotte, Lenaic Borot, Ségolène Guérin, Oliver Seidel-Marzi, Katharina Stute, Meryem Ayşe Yücel, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members)
Virtual registration,Virtual registration is a form of registration that is based on anchoring fNIRS optode or channel locations to an International 10-20 reference point and as such does not require the 3D digitization of the optode locations. ,Analysis,Spatial normalization; Image registration; registration; co-registration,,,, , , ,Meryem Ayşe Yücel,"Gregoire Vergotte, Aahana Bajracharya, Hanieh Zainodini, Paola Pinti; Antonia Hamilton, Anastasia Kerr-German",Complete (agreement from at least 5 team members)
Visual Inspection,"Visual inspection refers to the subjective process of checking fNIRS signal quality online or offline in order to evaluate the quality of the signal. Visual inspection is a form of data quality inspection. While this form of inspection is inherently subjective due to not being based on objective criteria, it taps on the experimenter experience and can be useful when detecting noisy channels during pre-acquisition or motion artifacts during data processing.",Analysis,"Quality check, Data quality assessment, Preprocessing , Noisy channels,  Artifact, Spikes, Noise, Baseline drift",,,not applicable, , , ,"Thomas Dresler, Franziska Klein, Meryem Ayşe Yücel","Gregoire Vergotte, Lenaic Borot, Franziska Klein, Vanessa Reindl, Chia-Chuan Yu, Murat Can Mutlu, Christian Gerloff, Felipe Orihuela-Espina",Complete (agreement from at least 5 team members) 
Wavelet transform,"Wavelet transform (WT) applies an orthogonal kernel to provide a transformation from time space to time-scale space that can be either performed in a discrete or continuous fashion. Note that the term time here is not intended in the physical sense, and can refer to other sampling lattices, for instance, images. By translating and dilatating the kernel, termed the mother wavelet, the wavelet transform provides a time-scale representation of the input data that often facilitates downstream analysis such as spectral analysis or to calculate connectivity estimators. There are many wavelet transforms as well as many mother wavelets with different virtues and assumptions. For instance, the discrete wavelet transform (DWT) performs the dilatation in a less fine-grained resolution as compared to the continuous wavelet transform but it is computationally faster. Wavelets have proved popular in fNIRS for filtering and denoising (e.g. motion artifacts), hyperscanning coherence analysis, or the interpretation of connectivity among others.",Analysis,"Functional Connectivity, Motion Artifact Correction, Time-Frequency Analysis, Preprocessing, Filtering,  Multiresolution Analysis","WT, CWT, DWT",,"<a href=""https://doi.org/10.1175/1520-0477(1998)079%3C0061:APGTWA%3E2.0.CO;2"" target=""_blank"">https://doi.org/10.1175/1520-0477(1998)079%3C0061:APGTWA%3E2.0.CO;2</a>", , , ,Christian Gerloff," Franziska Klein, Hanieh Zainodini, Aykut Eken, Felipe Orihuela-Espina, Meryem Ayşe Yücel",Complete (agreement from at least 5 team members)
Wavelet coherence,"Wavelet coherence is a method commonly used in hyperscanning studies to quantify the relationship between brain activity in two participants. Data for each participant is subject to a wavelet transform which provides a time-scale representation of that channel. The wavelet representations can then be related across participants to calculate the wavelet coherence.  If stronger wavelet coherence is seen in true dyads compared to pseudo-dyads (when data from non-interactive participants is paired up), then there is a coherence effect.  ",Analysis,"Time-Frequency Analysis, Hyperscanning, Multiresolution Analysis",WC,,"<a href=""https://doi.org/10.1016/j.neuroimage.2011.09.003"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2011.09.003</a>", , , ,Antonia Hamilton," Anastasia Kerr-German, Meryem Ayşe Yücel, Samuel Montero-Hernandez",Open for review
Wiener Filter,"The Wiener filter is an MSE-optimal stationary filter that uses nonlinear equations for IIR filters or linear equations for FIR filters to estimate a desired output from an observed noisy signal. The underlying assumption is that the signal and noise are stationary and uncorrelated. Popular uses of Wiener filters are denoising, deblurring and upsampling.",Analysis ,,,,"<p></p><a href=""https://doi.org/10.1109/TBME.2005.845243
"" target=""_blank"">https://doi.org/10.1109/TBME.2005.845243
</a>", , , ,Hanieh Zainodini," Felipe Orihuela-Espina, Meryem Ayşe Yücel",Open for review
Baseline,"Baseline (BL) refers to the participant's physiological state at a resting or non-stimulated state recorded before performing an experimental task or perceiving stimuli. In the context of fNIRS, it reflects the neurophysiological state (e.g., brain activity) measured when the participant is at rest or not receiving any stimulation. The baseline period can refer to the resting state before an experimental task begins, but also to periods of rest before a new task block or stimulus is presented.",Experimental design,Baseline period,BL,,"Eddie Harmon-Jones and Jennifer S Beer. Methods in social neuroscience. Guilford Press, 2012.", , ,, Haiyan Kong," Haiyan Kong, Ann-Christine Ehlis, Franziska Klein, Thomas Dresler, Simone Cutini, Oliver Seidel-Marzi, Murat Can Mutlu, Katharina Stute, Judit Gervain",Complete (agreement from at least 5 team members)
Baseline period,"Baseline period refers to a segment of time preceding the measurement in an experiment, used to establish a reference or comparison point. In fNIRS, the duration of this segment is typically few to several seconds before the onset of an experimental task.",Experimental design,"Baseline, Block Design, Event-related design",,,"<a href=""https://doi.org/10.1007/978-3-319-39955-3_34"" target=""_blank"">https://doi.org/10.1007/978-3-319-39955-3_34</a><p></p>
",  , , ,Haiyan Kong,"Ann-Christine Ehlis, Franziska Klein, Thomas Dresler, Simone Cutini, Oliver Seidel-Marzi, Murat Can Mutlu, Katharina Stute, Jason DeFreitas, Judit Gervain",Complete (agreement from at least 5 team members)
Between-participant design,"A between-participant design is a type of experimental design in which participants are allocated to independent experimental or treatment groups (including the control group). The main purpose of this study design is to examine the difference between groups. Participants may be separated into groups based on their characteristics (e.g., children with ADHD vs. healthy controls). Random assignment to two groups is also possible. If assignment is random, the study allows for causal conclusions.",Experimental Design,"Within-group design, Within-subject design, Within-participant 	design; Experimental design, ANOVA",,"Between-group design, Between-subject design, independent measures design",N/A, , , ,Chia-Chuan Yu," Ségolène Guérin; Ann-Christine Ehlis; Haiyan Kong; Thomas Dresler; Christina Artemenko, Simone Cutini, Jason DeFreitas, Franziska Klein, Aykut Eken, Judit Gervain, Katharina Stute",Complete (agreement from at least 5 team members) 
Block design," A block design is a type of experimental paradigm in which trials belonging to the same experimental condition are arranged in blocks (i.e., grouped together), with blocks usually separated by a rest period. The original purpose of a block design is to increase the signal-to-noise ratio (SNR) and to reduce the effects of variability within individual trials. ",Experimental design,"Event-related design, Experimental Run, Experimental Session, Experimental paradigm, Trial",,,"<a href=""https://doi.org/10.1117/1.NPh.8.2.025008"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.2.025008</a><p></p><a href=""https://doi.org/10.1192/apt.bp.115.015610
"" target=""_blank"">https://doi.org/10.1192/apt.bp.115.015610
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.8.1.012101
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101
</a>", , , ,Chia-Chuan Yu,"Ségolène Guérin; Haiyan Kong; Thomas Dresler; Oliver Seidel-Marzi; Christina Artemenko, Chia-Chuan Yu; Simone Cutini, Jason DeFreitas, Judit Gervain, Katharina Stute, Ann-Christine Ehlis",Complete (agreement from at least 5 team members)
Cap size,"Cap size is the size or dimensions of the fNIRS cap that is worn on the participant's head. When selecting a cap size for fNIRS measurements, it is important to consider factors such as the population being studied and head size/shape variations.
Category:

",Experimental design,"Head size, Headband, Head circumference ",,,"<a href=""https://doi.org/10.1016/j.neuroimage.2014.11.022"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2014.11.022</a>",(if applicable) ,(if applicable) ,(if applicable) ,Haiyan Kong,"Katharina Stute, Abi Fiske, Sara Sanchez-Alonso, Judit Gervain, Ann-Christine Ehlis",Complete (agreement from at least 5 team members)
Channel,"A channel is a measurement point that the system is capable of recording from. In the special case of fNIRS, a channel is defined as the area between a light source and a detector, and is often visually depicted as the midpoint of the two and at a depth of approximately half of the source-detector distance. The source-detector distance categorizes a channel as a typical long-separation fNIRS channel (reflecting cortical activation changes and changes in systemic physiology) or a short-separation/short-distance channel (primarily reflecting changes in skin perfusion).",Experimental design,"Optode, Detector, Emitter, Optode template, Montage, Optode configuration, Short-separation channel, Short-distance channel",,,"<a href=""https://doi.org/10.1117/1.NPh.8.1.012101"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101</a><p></p><a href=""https://doi.org/10.1192/apt.bp.115.015610
"" target=""_blank"">https://doi.org/10.1192/apt.bp.115.015610
</a>", , , ,OntoNIRS," Lenaic Borot, Ann-Christine Ehlis, Franziska Klein, Haiyan Kong, Thomas Dresler, Oliver Seidel-Marzi, Christian Bartkowski, Katharina Stute, Jason DeFreitas, Paola Pinti, Judit Gervain, M. Atif Yaqub, Felix Scholkmann",Complete (agreement from at least 5 team members)
Counterbalancing,"Counterbalancing is a method utilized to mitigate order effects in repeated measures designs. In this procedure, when the experimental paradigm involves multiple conditions, the participant group is divided into sub-groups with equal numerosity. Each sub-group experiences the various conditions in different sequences, whether it be two or more, to avoid the presence of systematic order effects.
",Experimental Design,"Latin Square Design, Randomization",,,"<a href=""https://doi.org/10.1002/9781118445112.stat06195"" target=""_blank"">https://doi.org/10.1002/9781118445112.stat06195</a><p></p><a href=""https://doi.org/10.1037/a0029310
"" target=""_blank"">https://doi.org/10.1037/a0029310
</a>", , , ,Chiara Bulgarelli," Mahmoud Elsherif, Ségolène Guérin; Gregoire Vergotte, Thomas Dresler, Oliver Seidel-Marzi; Simone Cutini, Franziska Klein, Jason DeFreitas, Mohinish Shukla, Judit Gervain",Open for review
Dyad,"In the context of an fNIRS experiment, a dyad refers to two individuals that participate in an experiment together, typically interacting with each other (e.g., parent-child dyad). ",Experimental Design,Hyperscanning,,Pair,"<a href=""https://doi.org/10.2307/351453"" target=""_blank"">https://doi.org/10.2307/351453</a><p></p><a href=""https://doi.org/10.1111/nyas.13948
"" target=""_blank"">https://doi.org/10.1111/nyas.13948
</a>",,, ,Vanessa Reindl," Ségolène Guérin; Gregoire Vergotte; Mahmoud Elsherif, Thomas Dresler, Vanessa Reindl, Franziska Klein, Haiyan Kong, Katharina Stute, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
,"An event is a single experimentally controlled stimulus (e.g., the presentation of a word, visual stimulus, or tactile vibration) or a participant-mediated action (e.g., a motor response). In event-related designs, experimental trials consist of such events, separated by appropriate inter-stimulus intervals. In block designs, multiple events are presented in a given block. 
",Experimental Design,"Stimulus, Event-related design, Block design, Inter-stimulus interval, Trial",,,"<a href=""https://doi.org/10.1037/0033-2909.125.1.155;  full-text available from author’s website: https://despolab.berkeley.edu/main/files/desposito1999.pdf"" target=""_blank"">https://doi.org/10.1037/0033-2909.125.1.155;  full-text available from author’s website: https://despolab.berkeley.edu/main/files/desposito1999.pdf</a><p></p>
<p></p>
",(if applicable) ,(if applicable) ,(if applicable) ,Mohinish Shukla,"Abi Fiske, Gregoire Vergotte, Lenaic Borot, Ségolène Guérin, Jason Longhurst, Oliver Seidel-Marzi, Katharina Stute, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Event-related design," Event-related design is a type of experimental paradigm in which trials are presented randomly or in a pseudo-random order, with each trial consisting of a single presentation of the stimulus or event. Compared to block designs, event-related designs provide greater temporal resolution and allow for more variability in the timing and order of the events. For instance, cognitive adaptation strategies of the subjects can be avoided, the response profile for different trial types (and even single trials) can be estimated by event-related averaging and it allows post-hoc sorting of individual brain responses. ",Experimental design,Block design,,,"<a href=""https://doi.org/10.1016/S0896-6273(00)80456-0"" target=""_blank"">https://doi.org/10.1016/S0896-6273(00)80456-0</a><p></p><a href=""https://doi.org/10.1192/apt.bp.115.015610
"" target=""_blank"">https://doi.org/10.1192/apt.bp.115.015610
</a><p></p><a href=""https://doi.org/10.1016/j.jneumeth.2014.07.011
"" target=""_blank"">https://doi.org/10.1016/j.jneumeth.2014.07.011
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2005.12.008
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2005.12.008
</a><p></p><a href=""https://doi.org/10.1117/1.NPh.8.1.012101
"" target=""_blank"">https://doi.org/10.1117/1.NPh.8.1.012101
</a>", , Bock design,,"OntoNIRS, Haiyan Kong"," Ann-Christine Ehlis, Franziska Klein, Thomas Dresler, Simone Cutini, Oliver Seidel-Marzi, Chia-Chuan Yu, Jason DeFreitas, Paola Pinti, Judit Gervain, Katharina Stute, Mohinish Shukla",Complete (agreement from at least 5 team members) 
Experimental design,"The design of an experiment involves planning a set of procedures to examine a scientific hypothesis in terms of the relationship between independent and dependent variables. Thereby, the independent variable(s) is/are manipulated and effects on the dependent variable(s) are assessed (i.e., measured).",Experimental design,Event-related design; Block design; Between-participant design; Within-participant design,,,"Roger E Kirk. Experimental design. Wiley Online Library, 1982.", , , ,OntoNIRS," Ann-Christine Ehlis, Haiyan Kong, Thomas Dresler, Katharina Stute, Simone Cutini, Oliver Seidel-Marzi, Chia-Chuan Yu, Franziska Klein, Jason DeFreitas, Judit Gervain",Complete (agreement from at least 5 team members)
Experimental paradigm,"An experimental paradigm incorporates the presentation and response format of a certain task relevant to the research question. An experimental paradigm provides a structured approach to conducting research, ensuring that the study is rigorous, replicable, and meaningful.


",,Task,,,"<a href=""https://doi.org/10.4324/9780367808280"" target=""_blank"">https://doi.org/10.4324/9780367808280</a><p></p><a href=""https://doi.org/10.1002/hbm.460020402
"" target=""_blank"">https://doi.org/10.1002/hbm.460020402
</a>",(if applicable) ,(if applicable) ,(if applicable) ,Christina Artemenko,"Haiyan Kong, Gregoire Vergotte, Lenaic Borot, Jason Longhurst, Oliver Seidel-Marzi, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Experimental Run,"An experimental run refers to a single continuous period of data acquisition on a single participant. A study can consist of multiple runs collected on the same day (e.g., one per experimental task), or within several days/weeks in a longitudinal study.
",,Experimental Session,,,"<a href=""https://doi.org/10.1016/j.neuroimage.2004.08.001"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2004.08.001</a><p></p><a href=""https://doi.org/10.1371/journal.pone.0159959 
"" target=""_blank"">https://doi.org/10.1371/journal.pone.0159959 
</a><p></p>
",(if applicable) ,(if applicable) ,(if applicable) ,Meryem A. Yücel,"Katharina Stute, Judit Gervain, Ségolène Guérin, Haiyan Kong, Gregoire Vergotte, Lenaic Borot, Jason Longhurst, Ann-Christine Ehlis",Complete (agreement from at least 5 team members)
Experimental Session,"An experimental session refers to all the experimental runs collected in a study from one participant at a particular time of the day, without removing data collection equipment. In within-subject designs, multiple experimental sessions can take place at different time points (e.g., longitudinal, intervention studies or different experimental conditions or experimental runs).
",,Experimental Run,,,"<a href=""https://doi.org/10.1364/AO.48.00D280"" target=""_blank"">https://doi.org/10.1364/AO.48.00D280</a>",(if applicable) ,(if applicable) ,(if applicable) ,Meryem A. Yücel,"Katharina Stute, Mohinish Shukla, Ségolène Guérin, Christina Artemenko, Franziska Klein, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Experimental Trial,An experimental trial is the smallest unit of an experimental task and contains a sequence of one or more stimuli. Trials are repeated a certain number of times in an experiment with the same or different stimuli belonging to the same or different conditions with a certain timing.  ,Experimental Design,"Event, Stimulus sequence, Inter-trial interval, Inter-stimulus interval",,,, , , ,Christina Artemenko," Mahmoud Elsherif, Franziska Klein, Thomas Dresler, Vanessa Reindl, Simone Cutini, Jason Longhurst, Katharina Stute, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Finger tapping,"Finger tapping refers to a task where participants are instructed to rhythmically tap their fingers in a controlled manner. In a finger-tapping task, participants are instructed to touch their thumb with each of the other fingers of the same hand, sequentially. It can also refer to periodically tapping on a surface, commonly using the forefinger. Finger tapping can be self-paced or externally paced. Finger tapping is generally used to measure motor activity in order to test whether the fNIRS system records proper hemodynamic response or not or to locate the motor cortex. ",Experimental Design,,,,"<a href=""https://doi.org/10.1016/j.neuroimage.2011.08.095"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2011.08.095</a><p></p><a href=""https://doi.org/10.1117/1.NPh.5.1.011006
"" target=""_blank"">https://doi.org/10.1117/1.NPh.5.1.011006
</a><p></p><a href=""https://doi.org/10.1016/j.neuroimage.2020.117597
"" target=""_blank"">https://doi.org/10.1016/j.neuroimage.2020.117597
</a><p></p><a href=""https://doi.org/10.1016/j.jneumeth.2020.108790
"" target=""_blank"">https://doi.org/10.1016/j.jneumeth.2020.108790
</a><p></p><a href=""https://doi.org/10.1038/s41598-023-33780-1 
"" target=""_blank"">https://doi.org/10.1038/s41598-023-33780-1 
</a>", , , ,Ségolène Guérin," Ségolène Guérin; Gregoire Vergotte; Lenaic Borot; Haiyan Kong, Aykut Eken, M. Atif Yaqub, Katharina Stute, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
Frequency encoding/tagging,"An experimental design and data analysis method in which a stimulus is presented at a specific frequency, and the measured brain (or other) responses are assessed for whether they exhibit oscillations / periodic responses at the stimulation frequency stimulus. Multiple stimuli can be studied simultaneously by presenting them at different frequencies. To minimize overlap in the frequency spectrum and avoid inference from systemic variables (e.g., heart rate, respiratory oscillations), prime numbers are often chosen as stimulation frequencies. This design is often used with techniques providing high temporal resolution such as EEG/MEG.",Experimental Design,,,Frequency tagging,"<a href=""https://doi.org/10.1523/JNEUROSCI.16-13-04207.1996"" target=""_blank"">https://doi.org/10.1523/JNEUROSCI.16-13-04207.1996</a><p></p>
", , , ,Mohinish Shukla,"Judit Gervain, Samuel Montero-Hernandez, Ségolène Guérin, Katharina Stute, Franziska Klein",Complete (agreement from at least 5 team members)  
Head circumference,"The measurement (usually in cm) of a participant’s head diameter at the level of the nasion (the midpoint between the eyes, just above the nose bridge), the inion (the external occipital protuberance at the base of the skull) and the tragi (cartilage at the ear entrance) of the ears. Head circumference is usually assessed with a tape measure and is crucial for selecting the correct cap size for the participant. This information can also be used in head modeling processes.
",Experimental design,"Head size, Head model, Cap size",,,"<a href=""https://doi.org/10.1117%2F1.NPh.7.3.035008"" target=""_blank"">https://doi.org/10.1117%2F1.NPh.7.3.035008</a>",(if applicable) ,(if applicable) ,(if applicable) ,Abi Fiske,"Mohinish Shukla, Sara Sanchez-Alonso, Gregoire Vergotte, Lenaic Borot, Ségolène Guérin, Oliver Seidel-Marzi, Ann-Christine Ehlis, Judit Gervain",Complete (agreement from at least 5 team members)
